ABC123;120;15420;kartyas
DEF456;95;8900;keszpenz
GHI789;310;45200;utalas
JKL234;45;6200;csekk
MNO567;180;22300;kartyas
PQR890;240;31800;utalas
STU135;77;9800;keszpenz
VWX246;520;67200;kartyas
YZA357;134;14500;csekk
BCD468;88;11200;kartyas
EFG579;410;53800;utalas
HIJ680;63;7400;keszpenz
KLM791;275;36400;kartyas
NOP802;198;25100;utalas
QRS913;350;48700;csekk
TUV124;29;3900;keszpenz
WXY235;600;81200;kartyas
ZAB346;142;17600;utalas
CDE457;111;13400;csekk
FGH568;205;28900;kartyas
IJK679;320;42100;keszpenz
LMN780;54;6800;utalas
OPQ891;470;59900;kartyas
RST902;83;9900;csekk
UVW113;156;20800;keszpenz
XYZ224;390;52300;utalas
ABC335;67;8100;kartyas
DEF446;255;33600;csekk
GHI557;145;18700;keszpenz
JKL668;510;70100;utalas
MNO779;99;12500;kartyas
PQR880;178;23100;csekk
STU991;420;55800;utalas
VWX102;38;5200;keszpenz
YZA213;260;34800;kartyas
BCD324;315;42900;csekk
EFG435;72;8600;utalas
HIJ546;540;73400;kartyas
KLM657;128;16200;keszpenz
NOP768;201;27600;csekk
QRS879;360;49200;utalas
TUV980;49;6100;kartyas
WXY191;280;37100;keszpenz
ZAB282;167;21900;csekk
CDE373;455;61300;utalas
FGH464;91;11800;kartyas
IJK555;230;30400;keszpenz
LMN646;340;46500;csekk
OPQ737;58;7200;utalas
RST828;590;79800;kartyas
UVW919;149;19100;keszpenz
XYZ120;214;29700;csekk
ABC231;375;50900;utalas
DEF342;84;10100;kartyas
GHI453;265;35200;keszpenz
JKL564;193;24700;csekk
MNO675;440;58100;utalas
PQR786;36;4800;kartyas
STU897;300;39800;keszpenz
VWX908;160;21300;csekk
YZA119;525;68900;utalas
BCD220;102;12900;kartyas
EFG331;248;32700;keszpenz
HIJ442;355;47800;csekk
KLM553;69;8300;utalas
NOP664;480;62400;kartyas
QRS775;138;17100;keszpenz
TUV886;221;30800;csekk
WXY997;395;53100;utalas
ZAB108;52;6500;kartyas
CDE219;272;35900;keszpenz
FGH320;185;23900;csekk
IJK431;430;56700;utalas
LMN542;97;12100;kartyas
OPQ653;245;32100;keszpenz
RST764;365;50100;csekk
UVW875;41;5600;utalas
XYZ986;550;74800;kartyas
ABC197;152;19600;keszpenz
DEF208;208;28600;csekk
GHI319;385;51800;utalas
JKL420;74;9200;kartyas
MNO531;290;38200;keszpenz
PQR642;176;22800;csekk
STU753;465;60600;utalas
VWX864;87;10900;kartyas
YZA975;235;31100;keszpenz
BCD186;345;47200;csekk
EFG297;61;7600;utalas
HIJ308;615;82600;kartyas
KLM419;144;18300;keszpenz
NOP520;219;30100;csekk
QRS631;405;54400;utalas
TUV742;47;5900;kartyas
WXY853;285;37600;keszpenz
ZAB964;171;22400;csekk
CDE175;450;59200;utalas
FGH286;93;11600;kartyas
IJK397;250;33300;keszpenz
LMN408;370;50600;csekk